"id","airport_type","name","country","city","iso_region","municipality","gps_code","iata_code","altitude","continent","local_code","coordinates"
3174,medium_airport,South Arkansas Regional At Goodwin Field,US,El Dorado,US-AR,"",KELD,ELD,"277",NA,ELD,"-92.81330108642578, 33.22100067138672"
3175,small_airport,Elk City Regional Business Airport,US,Elk City,US-OK,"",KELK,ELK,"2013",NA,ELK,"-99.39430237, 35.43080139"
3176,medium_airport,Elmira Corning Regional Airport,US,Elmira/Corning,US-NY,"",KELM,ELM,"954",NA,ELM,"-76.8916015625, 42.1599006652832"
3177,small_airport,Bowers Field,US,Ellensburg,US-WA,"",KELN,ELN,"1764",NA,ELN,"-120.5309982, 47.03300095"
3178,medium_airport,Ely Municipal Airport,US,Ely,US-MN,"",KELO,LYU,"1456",NA,ELO,"-91.83070374, 47.82450104"
3179,medium_airport,El Paso International Airport,US,El Paso,US-TX,"",KELP,ELP,"3959",NA,ELP,"-106.3779984, 31.80719948"
3180,medium_airport,Ely Airport Yelland Field,US,Ely,US-NV,"",KELY,ELY,"6259",NA,ELY,"-114.8420029, 39.29970169"
3181,small_airport,"Wellsville Municipal Arpt,Tarantine Field",US,Wellsville,US-NY,"",KELZ,ELZ,"2124",NA,ELZ,"-77.98999786, 42.10950089"
3182,small_airport,Kemmerer Municipal Airport,US,Kemmerer,US-WY,"",KEMM,EMM,"7285",NA,EMM,"-110.556999207, 41.82410049439999"
3183,small_airport,Emporia Municipal Airport,US,Emporia,US-KS,"",KEMP,EMP,"1208",NA,EMP,"-96.19120025630001, 38.3320999146"
3184,small_airport,San Gabriel Valley Airport,US,El Monte,US-CA,"",KEMT,EMT,"296",NA,EMT,"-118.035004, 34.086102"
3185,large_airport,Vance Air Force Base,US,Enid,US-OK,"",KEND,END,"1307",NA,END,"-97.9164962769, 36.339199066199996"
3186,small_airport,Centralia Municipal Airport,US,Centralia,US-IL,"",KENL,ENL,"534",NA,ENL,"-89.0911026001, 38.515098571799996"
